id,brand,name,price,price_sign,currency,image_link,product_link,website_link,website,description,rating,category,product_type,tag_list/0,tag_list/1,created_at,updated_at,product_api_url,api_featured_image,product_colors/0/hex_value,product_colors/0/colour_name,product_colors/1/hex_value,product_colors/1/colour_name,product_colors/2/hex_value,product_colors/2/colour_name,product_colors/3/hex_value,product_colors/3/colour_name,product_colors/4/hex_value,product_colors/4/colour_name,product_colors/5/hex_value,product_colors/5/colour_name,product_colors/6/hex_value,product_colors/6/colour_name,product_colors/7/hex_value,product_colors/7/colour_name,product_colors/8/hex_value,product_colors/8/colour_name,product_colors/9/hex_value,product_colors/9/colour_name,product_colors/10/hex_value,product_colors/10/colour_name,product_colors/11/hex_value,product_colors/11/colour_name,product_colors/12/hex_value,product_colors/12/colour_name,product_colors/13/hex_value,product_colors/13/colour_name,product_colors/14/hex_value,product_colors/14/colour_name,product_colors/15/hex_value,product_colors/15/colour_name,product_colors/16/hex_value,product_colors/16/colour_name,product_colors/17/hex_value,product_colors/17/colour_name,product_colors/18/hex_value,product_colors/18/colour_name,product_colors/19/hex_value,product_colors/19/colour_name,product_colors/20/hex_value,product_colors/20/colour_name,product_colors/21/hex_value,product_colors/21/colour_name,product_colors/22/hex_value,product_colors/22/colour_name,product_colors/23/hex_value,product_colors/23/colour_name,product_colors/24/hex_value,product_colors/24/colour_name,product_colors/25/hex_value,product_colors/25/colour_name,product_colors/26/hex_value,product_colors/26/colour_name,product_colors/27/hex_value,product_colors/27/colour_name,product_colors/28/hex_value,product_colors/28/colour_name,product_colors/29/hex_value,product_colors/29/colour_name,product_colors/30/hex_value,product_colors/30/colour_name,product_colors/31/hex_value,product_colors/31/colour_name,product_colors/32/hex_value,product_colors/32/colour_name,product_colors/33/hex_value,product_colors/33/colour_name,product_colors/34/hex_value,product_colors/34/colour_name,product_colors/35/hex_value,product_colors/35/colour_name,product_colors/36/hex_value,product_colors/36/colour_name,product_colors/37/hex_value,product_colors/37/colour_name,product_colors/38/hex_value,product_colors/38/colour_name,product_colors/39/hex_value,product_colors/39/colour_name,product_colors/40/hex_value,product_colors/40/colour_name,product_colors/41/hex_value,product_colors/41/colour_name,product_colors/42/hex_value,product_colors/42/colour_name,product_colors/43/hex_value,product_colors/43/colour_name,product_colors/44/hex_value,product_colors/44/colour_name,product_colors/45/hex_value,product_colors/45/colour_name,tag_list/2,tag_list/3,tag_list/4,tag_list/5,tag_list/6,product_colors/46/hex_value,product_colors/46/colour_name,product_colors/47/hex_value,product_colors/47/colour_name,product_colors/48/hex_value,product_colors/48/colour_name,product_colors/49/hex_value,product_colors/49/colour_name,product_colors/50/hex_value,product_colors/50/colour_name,product_colors/51/hex_value,product_colors/51/colour_name,product_colors/52/hex_value,product_colors/52/colour_name,product_colors/53/hex_value,product_colors/53/colour_name,product_colors/54/hex_value,product_colors/54/colour_name,product_colors/55/hex_value,product_colors/55/colour_name,product_colors/56/hex_value,product_colors/56/colour_name,product_colors/57/hex_value,product_colors/57/colour_name,product_colors/58/hex_value,product_colors/58/colour_name,product_colors/59/hex_value,product_colors/59/colour_name,product_colors/60/hex_value,product_colors/60/colour_name,product_colors/61/hex_value,product_colors/61/colour_name,product_colors/62/hex_value,product_colors/62/colour_name,product_colors/63/hex_value,product_colors/63/colour_name,product_colors/64/hex_value,product_colors/64/colour_name,product_colors/65/hex_value,product_colors/65/colour_name,product_colors/66/hex_value,product_colors/66/colour_name,product_colors/67/hex_value,product_colors/67/colour_name,product_colors/68/hex_value,product_colors/68/colour_name,product_colors/69/hex_value,product_colors/69/colour_name,product_colors/70/hex_value,product_colors/70/colour_name,product_colors/71/hex_value,product_colors/71/colour_name,product_colors/72/hex_value,product_colors/72/colour_name,product_colors/73/hex_value,product_colors/73/colour_name,product_colors/74/hex_value,product_colors/74/colour_name,product_colors/75/hex_value,product_colors/75/colour_name,product_colors/76/hex_value,product_colors/76/colour_name,product_colors/77/hex_value,product_colors/77/colour_name,product_colors/78/hex_value,product_colors/78/colour_name,product_colors/79/hex_value,product_colors/79/colour_name,product_colors/80/hex_value,product_colors/80/colour_name,product_colors/81/hex_value,product_colors/81/colour_name,product_colors/82/hex_value,product_colors/82/colour_name,product_colors/83/hex_value,product_colors/83/colour_name,product_colors/84/hex_value,product_colors/84/colour_name,product_colors/85/hex_value,product_colors/85/colour_name,product_colors/86/hex_value,product_colors/86/colour_name,product_colors/87/hex_value,product_colors/87/colour_name,product_colors/88/hex_value,product_colors/88/colour_name,product_colors/89/hex_value,product_colors/89/colour_name,product_colors/90/hex_value,product_colors/90/colour_name,product_colors/91/hex_value,product_colors/91/colour_name,product_colors/92/hex_value,product_colors/92/colour_name,product_colors/93/hex_value,product_colors/93/colour_name,product_colors/94/hex_value,product_colors/94/colour_name,product_colors/95/hex_value,product_colors/95/colour_name,product_colors/96/hex_value,product_colors/96/colour_name,product_colors/97/hex_value,product_colors/97/colour_name,product_colors/98/hex_value,product_colors/98/colour_name,product_colors/99/hex_value,product_colors/99/colour_name,product_colors/100/hex_value,product_colors/100/colour_name,product_colors/101/hex_value,product_colors/101/colour_name,product_colors/102/hex_value,product_colors/102/colour_name,product_colors/103/hex_value,product_colors/103/colour_name,product_colors/104/hex_value,product_colors/104/colour_name,product_colors/105/hex_value,product_colors/105/colour_name,product_colors/106/hex_value,product_colors/106/colour_name,product_colors/107/hex_value,product_colors/107/colour_name,product_colors/108/hex_value,product_colors/108/colour_name,product_colors/109/hex_value,product_colors/109/colour_name,product_colors/110/hex_value,product_colors/110/colour_name,product_colors/111/hex_value,product_colors/111/colour_name,product_colors/112/hex_value,product_colors/112/colour_name,product_colors/113/hex_value,product_colors/113/colour_name,product_colors/114/hex_value,product_colors/114/colour_name,product_colors/115/hex_value,product_colors/115/colour_name,product_colors/116/hex_value,product_colors/116/colour_name,product_colors/117/hex_value,product_colors/117/colour_name,product_colors/118/hex_value,product_colors/118/colour_name,product_colors/119/hex_value,product_colors/119/colour_name,tag_list/7
1048,colourpop,Lippie Pencil,5,$,CAD,https://cdn.shopify.com/s/files/1/1338/0845/collections/lippie-pencil_grande.jpg?v=1512588769,https://colourpop.com/collections/lippie-pencil,https://colourpop.com,www.colourpop.com,"Lippie Pencil A long-wearing and high-intensity lip pencil that glides on easily and prevents feathering. Many of our Lippie Stix have a coordinating Lippie Pencil designed to compliment it perfectly, but feel free to mix and match!",,pencil,lip_liner,cruelty free,Vegan,2018-07-08T23:45:08.056Z,2018-07-09T00:53:23.301Z,https://makeup-api.herokuapp.com/api/v1/products/1048.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/048/original/open-uri20180708-4-13okqci?1531093614,#B28378,BFF Pencil,#A36B5E,951 Pencil,#966A60,Beeper Pencil,#8F5954,Oh Snap Pencil,#975348,Curvii Pencil,#865B69,Lumiere Pencil,#8E474D,Bumble Pencil,#5F2820,BFF Pencil 3,#C095BC,Brills Pencil,#743A6A,Are N Be Pencil,#965564,Contempo Pencil,#BF2C7E,Heart On Pencil,#CE435D,Trixie Pencil,#DA6952,Chi Chi Pencil,#A33C37,Clique Pencil,#C23D3C,Frenchie Pencil,#AF4051,Bossy Pencil,#914B4C,Wild Nothing Pencil,#6D414B,Dopey Pencil,#4D2D28,Toolips Pencil,#361927,Mamacita Pencil,#714B41,Pitch Pencil,#762F50,LBB Pencil,#8C4A47,Love Bug Pencil,#702E2D,Poison Pencil,#93283C,Bichette Pencil,#653E44,Dukes Pencil,#5C3357,Leather Pencil,#242225,Bull Chic Pencil,#B5716A,Brink Pencil,#B0516F,I Heart This Pencil,#542328,Ellarie Pencil,#DFAC9B,Toy Pencil,#AB7164,BFF Pencil 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,colourpop,Blotted Lip,5.5,$,CAD,https://cdn.shopify.com/s/files/1/1338/0845/products/brain-freeze_a_800x1200.jpg?v=1502255076,https://colourpop.com/collections/lippie-stix?filter=blotted-lip,https://colourpop.com,www.colourpop.com,"Blotted Lip Sheer matte lipstick that creates the perfect popsicle pout! Formula is lightweight, matte and buildable for light to medium coverage.",,lipstick,lipstick,cruelty free,Vegan,2018-07-08T22:01:20.178Z,2018-07-09T00:53:23.287Z,https://makeup-api.herokuapp.com/api/v1/products/1047.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/047/original/open-uri20180708-4-e7idod?1531087336,#b72227,Bee's Knees,#BB656B,Brain Freeze,#8E4140,Drip,#A12A33,On a Stick,#904550,Ice Cube,#452222,Lolly,#7C3F35,Candyfloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,colourpop,Lippie Stix,5.5,$,CAD,https://cdn.shopify.com/s/files/1/1338/0845/collections/blottedlip-lippie-stix_grande.jpg?v=1512588803,https://colourpop.com/collections/lippie-stix,https://colourpop.com,www.colourpop.com,"Lippie Stix Formula contains Vitamin E, Mango, Avocado, and Shea butter for added comfort and moisture. None of our Lippie formulas contain any nasty ingredients like Parabens or Sulfates.",,lipstick,lipstick,cruelty free,Vegan,2018-07-08T21:47:49.858Z,2018-07-09T00:53:23.274Z,https://makeup-api.herokuapp.com/api/v1/products/1046.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/046/original/open-uri20180708-4-1f333k1?1531086651,#F2DEC3,Fair 05,#793C36,Ziggie,#723739,Goldie,#BF3A30,Love Life,#94372D,Who Run this,#9E574D,Aquarius,#C68176,Brink,#AA6968,Cami,#E28474,Sike,#9A2B24,Fly-Fi,#B97271,Goal Digger,#BA7378,After Shock,#D68B99,Little Tings,#C07D6B,Ink Blot,#A3595E,Candy Paint,#5D2318,Ellarie,#C17773,Daydream,#C08892,Oh Snap,#BC6E6B,Faded,#CF8D98,Bound,#762554,Party Foul,#B67367,Parker,#852528,Bichette,#B86A82,Sauce,#B75E59,Topanga,#EA5151,Lullaby,#C08586,Contempo,#B82485,Heart on,#C5314F,I Heart this Lippie,#8F6557,Tootsi,#AF7564,Cookie,#AA4E79,Persuasion,#442A26,Pitch,#5C4761,Leather,#D12C35,Frenchie,#AB3E61,"Mirror, Mirror",#621F20,Poison,#623343,LBB,#864740,Grunge,#C5282D,Bossy,#DC4A3C,Chi Chi,#CB2931,Trust Me,#AB223E,Poppin',#A05F6A,Lumiere,#763A31,Taurus,#975450,Kapish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,colourpop,No Filter Foundation,12,$,CAD,https://cdn.shopify.com/s/files/1/1338/0845/products/foundations-lineup_800x1200.jpg?v=1528927785,https://colourpop.com/products/no-filter-matte-foundation,https://colourpop.com/products/no-filter-matte-foundation,www.colourpop.com,"Developed for the Selfie Age, our buildable full coverage, natural matte foundation delivers flawless looking skin from day-to-night. The oil-free, lightweight formula blends smoothly and is easily customizable to create the coverage you want. Build it up or sheer it out, it was developed with innovative soft-blurring pigments to deliver true color while looking and feeling natural. The lockable pump is easy to use and keeps your routine mess-free! As always, 100% cruelty-free and vegan.",,liquid,foundation,cruelty free,Vegan,2018-07-08T18:22:25.273Z,2018-07-09T00:53:23.313Z,https://makeup-api.herokuapp.com/api/v1/products/1045.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/045/original/open-uri20180708-4-4bvqii?1531074237,#F2DEC3,Fair 05,#F3DAC4,Fair 10,#F1D9C0,Fair 15,#EFD2BA,Fair 20,#F1D7B3,Fair 25,#EDD0B4,Fair 30,#D9B295,Fair 35,#CAA17B,Light 45,#E8C2A4,Light 50,#E8C3A6,Light 55,#E9C2A4,Light 60,#E1B68E,Light 65,#E4C096,Light 70,#E0B492,Light 75,#E0C1A1,Medium 80,#E4C1A9,Medium 85,#E5C6A8,Medium 90,#D3A784,Medium 95,#E2C2A1,Medium 100,#D7B297,Medium 105,#D4B194,Medium 110,#DCBFA5,Medium Dark 115,#D7B59A,Medium Dark 120,#C69676,Medium Dark 125,#D9B498,Medium Dark 130,#D9B191,Medium Dark 135,#D1AA90,Medium Dark 140,#BF8E63,Medium Dark 145,#C69B83,Dark 150,#C29879,Dark 155,#B99179,Dark 160,#C39981,Dark 165,#B99078,Dark 170,#B6927D,Dark 175,#B38A79,Dark 180,#AC8875,Deep Dark 115,#A07967,Deep Dark 115,#946D5A,Deep Dark 115,#865F4D,Deep Dark 115,#896A5A,Deep Dark 80,#795F52,Deep Dark 80,#6B5148,Deep Dark 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,boosh,Lipstick,26,$,CAD,https://cdn.shopify.com/s/files/1/1016/3243/products/LIPBALM_LID_grande.jpg?v=1496848378,https://www.boosh.ca/collections/all,https://www.boosh.ca/,www.booshfood.com,"All of our products are free from lead and heavy metals, parabens, phthalates, artificial colourants, and synthetic fragrances.  Boosh lipstick glides on smoothly for clean & protective SPF coverage. They are filled with hydrating oils and butters to preserve and enhance your lips natural surface. Organic sweet orange oil gives a light and cheerful scent.",,lipstick,lipstick,Chemical Free,Organic,2018-07-08T17:32:28.088Z,2018-09-02T22:52:06.669Z,https://makeup-api.herokuapp.com/api/v1/products/1044.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/044/original/data?1531071233,#CB4975,Babs,#B6636F,Bobbie,#B37072,Rosie,#C6727C,Ellie,#AF2257,Dahlia,#573F53,Kat,#875672,Brie,#BC88A5,Emmy,#BB8A88,Dusty rose,#8D5C58,Kylie,#C86775,Leah,#F8D7D6,Lip Plumping Balm,#8F6065,Luna,#C79289,Nova,#9D3F47,Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,deciem,Serum Foundation,6.7,$,CAD,https://3bc01d2807fb1bc0d25c-a86d2521f1af8989841b9619f5314be5.ssl.cf1.rackcdn.com/products/market-img/rdn-serum-foundation-30-r-30ml.png?v=6ab9fcb8ca2abb9828afcf9dcdad9f94,https://deciem.com/product/rdn-serum-foundation-30-r-30ml,https://deciem.com/,www.deciem.com,Serum Foundations are lightweight medium-coverage formulations available in a comprehensive shade range across 21 shades. These foundations offer moderate coverage that looks natural with a very lightweight serum feel. They are very low in viscosity and are dispensed with the supplied pump or with the optional glass dropper available for purchase separately if preferred. ,,liquid,foundation,water free,cruelty free,2018-07-06T23:16:12.698Z,2018-09-02T22:52:06.882Z,https://makeup-api.herokuapp.com/api/v1/products/1043.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/043/original/open-uri20180706-4-nszgw9?1530919194,#f4e5d6,1.0P,#f3e8d1,1.0N,#f3e8d1,1.0NS,#f2d7ba,1.1P,#efdbba,1.1N,#f0d5af,1.2N,#e5c5a1,1.2P,#e6c796,1.2Y,#e6c796,1.2YG,#e3be8e,2.0P,#e5cb9f,2.0N,#dcc399,2.0YG,#ddb279,2.1P,#dcad6d,2.1Y,#d59c62,3.0R,#d19e61,3.0Y,#b3754a,3.1R,#c28651,3.1Y,#916C4F,3.2N,#8E6346,3.2R,#664A37,3.3N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol free,oil free,silicone free,Vegan,Gluten Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,deciem,Coverage Foundation,6.9,$,CAD,https://3bc01d2807fb1bc0d25c-a86d2521f1af8989841b9619f5314be5.ssl.cf1.rackcdn.com/products/market-img/rdn-coverage-foundation-33-n-30ml.png?v=daa322f179d80e450613c75826602292,https://deciem.com/product/rdn-coverage-foundation-33-n-30ml,https://deciem.com/,www.deciem.com,"Coverage Foundations are full-coverage formulations available in a comprehensive shade range across 21 shades. These foundations contain higher pigment levels than our Serum Foundations but still offer a smooth finish that avoids the heavy makeup look that can make skin appear more aged. The texture is that of a lightweight, non-oily cream.",,liquid,foundation,water free,cruelty free,2018-07-06T22:27:54.541Z,2018-09-02T22:52:06.865Z,https://makeup-api.herokuapp.com/api/v1/products/1042.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/042/original/open-uri20180706-4-1e74943?1530916234,#f4e5d6,1.0P,#f3e8d1,1.0N,#f3e8d1,1.0NS,#f2d7ba,1.1P,#efdbba,1.1N,#f0d5af,1.2N,#e5c5a1,1.2P,#e6c796,1.2Y,#e6c796,1.2YG,#e3be8e,2.0P,#e5cb9f,2.0N,#dcc399,2.0YG,#ddb279,2.1P,#dcad6d,2.1Y,#d59c62,3.0R,#d19e61,3.0Y,#b3754a,3.1R,#c28651,3.1Y,#916C4F,3.2N,#8E6346,3.2R,#664A37,3.3N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol free,oil free,silicone free,Vegan,Gluten Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,zorah biocosmetiques,Liquid Liner,0,$,USD,https://www.purpicks.com/wp-content/uploads/2018/06/Zorah-Biocosmetiques-Liquid-Liner.png,https://www.purpicks.com/product/zorah-biocosmetiques-liquid-liner/,https://purpicks.com/,www.zorahbiocosmetiques.com,"<strong>12 hours of long-lasting</strong> intense color, transfer-free (leaves no trace on crease above the eyelid) <strong>Pure Light Capture®</strong> <strong>minerals</strong> deliver color and radiance. Silky lines and refreshingly light, Pure Argan eyeliner leaves a weightless feel on the eyelids.<p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>98% of the total ingredients are from natural origin 5% of total ingredients are from organic farming",,liquid,eyeliner,purpicks,EcoCert,2018-06-30T19:19:32.312Z,2018-09-02T22:52:06.723Z,https://makeup-api.herokuapp.com/api/v1/products/1041.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/041/original/open-uri20180630-4-1huiv9y?1530390387,#000000,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,zorah biocosmetiques,Eyeshadow,0,$,USD,https://www.purpicks.com/wp-content/uploads/2018/02/Ombre-Amazonie-CC.png,https://www.purpicks.com/product/zorah-eyeshadow/,https://purpicks.com/,www.zorahbiocosmetiques.com,"<strong>Product Description</strong>Anti-aging formula made with organic Pure Argan oil and Pure Light Capture<sup>®</sup> pigments. 24 Hour crease-free intensity (no build-up increase of eyelid), no running. Pure Light Capture® pigments deliver color and luminosity. Silky and refreshingly light feel, Pure Argan eyeshadow is weightless on the eyelids. Pure Argan eyeshadow <strong>soothes</strong>, <strong>hides redness </strong>and <strong>slows the appearance of the signs of aging on the skin.</strong><p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>100% of the total ingredients are from natural origin5% of total ingredients are from organic farming",,,eyeshadow,purpicks,EcoCert,2018-06-30T19:19:32.252Z,2018-09-02T22:52:06.714Z,https://makeup-api.herokuapp.com/api/v1/products/1040.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/040/original/open-uri20180630-4-1afkyee?1530390386,#966A54,Sahara,#6B7475,Evrest,#444446,Casablanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,w3llpeople, Realist Invisible Setting Powder,0,$,USD,https://www.purpicks.com/wp-content/uploads/2018/06/w3llpeople-Realist-Invisible-Setting-Powder.jpg,https://www.purpicks.com/product/w3llpeople-realist-invisible-setting-powder/,https://purpicks.com/,www.wellpeople.com,"<span style=""font-weight: 400;"">Keep it real with a polished, soft-focus look using this superfine, loose mineral powder. The healing properties of organic aloe help soothe and calm stressed out skin. Instantly minimize pores, soften imperfections, and creates a matte finish with superfine powder. Use by itself for an air-brushed look, or to set foundation for ultra-long wear.</span><span style=""font-weight: 400;"">* Set makeup or by itself for matte air-brushed effect</span><span style=""font-weight: 400;"">* Absorbs excess oil while softening fine lines</span><span style=""font-weight: 400;"">* Organic aloe creates radiant, rejuvenated skin</span><span style=""font-weight: 400;"">* Hypoallergenic, Chemical Free, Cruelty Free &amp; Noncomedogenic </span><span style=""font-weight: 400;"">* EWG Verified for non-toxic health and safety</span><span style=""font-weight: 400;"">* Free From: Parabens, Gluten, GMO, Phthalates, Sulfates, Fragrance, Pheonoxyethanol, Dimethicone, PEG, Propylene Glycol, Butylene Glycol, Lead, Mineral Oil, Talc</span>",,powder,foundation,purpicks,EWG Verified,2018-06-30T19:19:32.191Z,2018-06-30T20:26:26.417Z,https://makeup-api.herokuapp.com/api/v1/products/1039.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/039/original/open-uri20180630-4-rfmkzd?1530390386,#E8E6E7,Translucent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gluten Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
